Close,Volume,Tradecount,Volume USDT,sma_7,volatility_7,ema_14,rsi_14,target
178.5,2026882.59263,581890,390578821.4650719,202.72857142857143,21.50602351944768,192.61003436268356,51.66688067110954,179.7
179.7,1419232.641,352790,255703914.0537,202.55714285714288,21.712811666759784,190.8886964476591,50.65326158026357,180.5
180.5,896655.718,225836,164129604.9424,202.15714285714287,22.148126869094664,189.50353692130457,54.57142311428627,174.1
174.1,721100.842,198446,128840044.1667,196.6142857142857,23.804651406215058,187.44973199846396,49.23857368136308,178.6
178.6,551963.071,155726,99706178.4928,191.85714285714286,23.566986594446988,186.2697677320021,51.05782288568745,183.0
183.0,564714.696,166366,102330739.3083,184.82857142857145,15.478556595680994,185.83379870106847,53.00206527240225,179.4
179.4,5437062.6741,1344016,1066384966.600332,179.1142857142857,2.6841687548933777,184.97595887425933,54.275613004532985,183.1
183.1,1091279.997,362174,197408757.0389,179.77142857142857,3.0472470010976105,184.72583102435806,54.11346980433632,189.0
189.0,745508.059,213470,137697994.3308,181.09999999999997,4.628174586160759,185.29572022111032,52.945449154645175,185.2
185.2,935286.231,297580,176852389.6626,181.77142857142854,4.8616575656558405,185.28295752496228,50.68394017584475,180.0
180.0,566767.069,177962,103829576.8488,182.6142857142857,3.677149517141376,184.57856318830065,35.633183416029965,181.4
181.4,372409.224,108725,67815916.0014,183.0142857142857,3.300721421863173,184.15475476319392,36.72758473293136,175.6
175.6,364865.775,106682,64752004.4224,181.95714285714283,4.330456920792718,183.01412079476808,21.812745962366108,157.2
157.2,1300459.67767,311880,210410849.2483622,178.78571428571428,10.396221841198495,179.57223802213235,20.660374629761833,148.5
148.5,988169.63393,240425,153601638.9977284,173.84285714285716,15.144180085966159,175.4292729525147,29.67479111860331,161.4
161.4,822665.566,168617,127922221.5472,169.90000000000003,14.096926378942198,173.55870322551274,39.2982391792357,163.9
163.9,559513.522,127218,90086135.1178,166.85714285714286,12.446131546636217,172.27087612877773,40.48164487680013,152.1
152.1,1236046.28455,243188,186237491.03192952,162.8714285714286,11.994959258748228,169.581425978274,38.120944560548345,151.0
151.0,622457.078,171198,94774250.5753,158.52857142857144,9.38859490476055,167.10390251450414,34.52914256269064,150.7
150.7,837958.065,193909,124574377.2929,154.97142857142856,5.91825263787338,164.91671551257028,31.02232157094592,145.0
145.0,463173.188,149102,69894991.7023,153.22857142857143,6.872096789604678,162.26115344422757,30.275224497096985,140.6
140.6,551914.7719,167575,80089909.9230395,152.1,8.282109232152989,159.3729996516639,25.824796796960698,144.7
144.7,505249.15568,152576,73600932.012,149.71428571428572,7.527600009614076,157.4165996981087,24.27409593684851,153.3
153.3,505878.24,167123,76383184.6256,148.2,4.753244505946752,156.8677197383609,32.453240326233626,166.2
166.2,701432.917,255565,113134956.7649,150.21428571428572,8.32614928431756,158.11202377324614,43.002022291802106,168.9
168.9,427845.773,148076,72335144.5985,152.77142857142857,10.944666019833342,159.55042060348,43.74373761349023,170.5
170.5,437060.787,167180,74333713.9009,155.6,12.732635233916842,161.01036452301602,47.33541627277087,167.5
167.5,586624.931,152724,97383586.2245,158.81428571428572,12.44754709054798,161.87564925328056,56.41343972866555,173.8
173.8,622714.612,186522,106632729.7082,163.55714285714288,10.527718515558757,163.46556268617647,66.23875574656508,178.5
178.5,967921.404,330024,170174412.5194,168.3857142857143,7.847383549401082,165.4701543280196,62.26684545572687,178.6
178.6,866672.447,267395,156304829.0457,172.0,5.079370039678422,167.22080041761697,60.921235469579536,175.9
175.9,697493.034,183091,125125424.6659,173.3857142857143,4.526377717124164,168.37802702860137,70.44671844924301,179.9
179.9,445979.888,119499,80065420.2238,174.95714285714283,4.618028851812601,169.91429009145452,73.6497376252647,174.8
174.8,559785.153,162639,100526588.5123,175.57142857142858,4.192737485108128,170.5657180792606,68.28526622164301,179.1
179.1,679614.987,219432,122327312.9136,177.22857142857143,2.364821547678451,171.70362233535917,76.43409193678626,172.6
172.6,708173.9,167807,121699473.5302,177.05714285714288,2.67759664802359,171.82313935731125,74.02400846342167,177.6
